timestamp,frame_number,class_label,confidence,severity,risk_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,vehicle_count
2026-07-09 13:08:52,2,Accident,0.6087,Medium,45.0,326,161,527,327,426,244,0
2026-07-09 13:08:52,2,Accident,0.5144,Medium,45.0,700,129,954,361,827,245,0
2026-07-09 13:08:56,4,Accident,0.3068,Low,16.6,332,158,529,333,430,245,0
2026-07-09 13:09:00,8,Accident,0.489,Low,17.7,453,158,538,292,495,225,0
2026-07-09 13:09:00,8,Accident,0.1574,Low,17.7,1097,160,1280,353,1188,256,0
2026-07-09 13:09:04,10,Accident,0.5618,Medium,35.1,1134,158,1309,372,1221,265,0
2026-07-09 13:09:04,10,Accident,0.4483,Medium,35.1,442,162,545,294,493,228,0
2026-07-09 13:09:08,12,Accident,0.3898,Low,17.7,448,167,551,302,499,234,0
2026-07-09 13:09:08,12,Accident,0.2346,Low,17.7,352,169,552,372,452,270,0
2026-07-09 13:09:12,14,Accident,0.3822,Low,17.7,447,167,551,302,499,234,0
2026-07-09 13:09:12,14,Accident,0.2609,Low,17.7,352,169,552,372,452,270,0
2026-07-09 13:09:15,16,Accident,0.5431,Low,20.9,456,171,564,309,510,240,0
2026-07-09 13:09:15,16,Accident,0.1962,Low,20.9,1224,171,1309,406,1266,288,0
2026-07-09 13:09:20,18,Accident,0.7677,Low,29.3,415,171,569,311,492,241,0
2026-07-09 13:09:20,18,Accident,0.1537,Low,29.3,1245,178,1310,410,1277,294,0
2026-07-09 13:09:23,20,Accident,0.7664,Medium,45.0,418,173,577,319,497,246,0
2026-07-09 13:09:28,22,Accident,0.6404,Medium,45.0,383,179,593,418,488,298,0
2026-07-09 13:09:28,22,Accident,0.3673,Medium,45.0,592,104,745,292,668,198,0
2026-07-09 13:09:28,22,Accident,0.2197,Medium,45.0,454,175,593,325,523,250,0
2026-07-09 13:09:28,22,Accident,0.1757,Medium,45.0,776,129,978,305,877,217,0
2026-07-09 13:09:33,24,Accident,0.6715,Medium,45.0,785,132,996,314,890,223,0
2026-07-09 13:09:33,24,Accident,0.6136,Medium,45.0,390,182,598,426,494,304,0
2026-07-09 13:09:33,24,Accident,0.4224,Medium,45.0,595,100,754,295,674,197,0
2026-07-09 13:09:33,24,Accident,0.2637,Medium,45.0,447,181,599,331,523,256,0
2026-07-09 13:09:37,26,Accident,0.7757,Medium,45.0,439,183,612,339,525,261,0
2026-07-09 13:09:37,26,Accident,0.7337,Medium,45.0,793,133,1007,319,900,226,0
2026-07-09 13:09:41,28,Accident,0.8555,Medium,45.0,809,129,1038,332,923,230,0
2026-07-09 13:09:41,28,Accident,0.7217,Medium,45.0,449,189,625,353,537,271,0
2026-07-09 13:09:44,30,Accident,0.7961,Medium,40.7,451,196,635,362,543,279,0
2026-07-09 13:09:44,30,Accident,0.6111,Medium,40.7,820,144,1054,339,937,241,0
2026-07-09 13:09:44,30,Accident,0.1949,Medium,40.7,616,108,786,305,701,206,0
2026-07-09 13:09:48,32,Accident,0.6649,Low,34.5,457,204,647,367,552,285,0
2026-07-09 13:09:48,32,Accident,0.5851,Low,34.5,832,144,1074,346,953,245,0
2026-07-09 13:09:48,32,Accident,0.2533,Low,34.5,620,110,798,308,709,209,0
2026-07-09 13:09:52,34,Accident,0.7192,Low,23.6,471,205,674,391,572,298,0
2026-07-09 13:09:52,34,Accident,0.2909,Low,23.6,974,106,1118,216,1046,161,0
2026-07-09 13:09:52,34,Accident,0.1661,Low,23.6,851,131,1116,361,983,246,0
2026-07-09 13:09:56,36,Accident,0.7311,Low,24.2,471,205,674,391,572,298,0
2026-07-09 13:09:56,36,Accident,0.2801,Low,24.2,974,106,1118,216,1046,161,0
2026-07-09 13:09:56,36,Accident,0.1805,Low,24.2,851,131,1116,361,983,246,0
2026-07-09 13:10:00,38,Accident,0.7983,Low,34.0,493,230,712,422,602,326,0
2026-07-09 13:10:00,38,Accident,0.1971,Low,34.0,888,137,1175,387,1031,262,0
2026-07-09 13:10:04,40,Accident,0.4824,Medium,35.5,466,227,740,647,603,437,0
2026-07-09 13:10:04,40,Accident,0.2323,Medium,35.5,649,116,869,329,759,222,0
2026-07-09 13:10:04,40,Accident,0.2138,Medium,35.5,498,231,731,435,614,333,0
2026-07-09 13:10:08,42,Accident,0.4586,Low,26.4,1004,119,1165,217,1084,168,0
2026-07-09 13:10:08,42,Accident,0.1611,Low,26.4,933,121,1256,419,1094,270,0
2026-07-09 13:10:08,42,Accident,0.1501,Low,26.4,510,216,774,460,642,338,0
2026-07-09 13:10:12,44,Accident,0.4514,Low,26.5,1004,119,1165,217,1084,168,0
2026-07-09 13:10:12,44,Accident,0.1721,Low,26.5,933,120,1256,419,1094,269,0
2026-07-09 13:10:15,46,Accident,0.6587,Low,29.5,1014,118,1179,214,1096,166,0
2026-07-09 13:10:19,48,Accident,0.6444,Low,26.9,1022,119,1189,220,1105,169,0
2026-07-09 13:10:23,50,Accident,0.6416,Low,26.3,1030,116,1200,227,1115,171,0
2026-07-09 13:10:27,52,Accident,0.6199,Low,21.9,1041,113,1219,237,1130,175,0
2026-07-09 13:10:31,54,Accident,0.65,Low,27.9,1054,99,1240,255,1147,177,0
2026-07-09 13:10:34,56,Accident,0.6577,Low,29.3,1054,97,1240,255,1147,176,0
2026-07-09 13:10:38,58,Accident,0.1724,Low,16.6,1067,131,1261,252,1164,191,0
2026-07-09 13:10:42,60,Accident,0.5128,Low,34.7,615,284,754,370,684,327,0
2026-07-09 13:10:42,60,Accident,0.4925,Low,34.7,1073,130,1272,255,1172,192,0
2026-07-09 13:10:45,62,Accident,0.7639,Low,34.9,615,285,771,385,693,335,0
2026-07-09 13:10:45,62,Accident,0.2432,Low,34.9,1081,136,1283,255,1182,195,0
2026-07-09 13:10:49,64,Accident,0.7383,Medium,42.8,618,284,824,404,721,344,0
2026-07-09 13:10:53,66,Accident,0.8652,Medium,45.0,622,290,804,407,713,348,0
2026-07-09 13:10:57,68,Accident,0.878,Medium,45.0,627,293,809,412,718,352,0
2026-07-09 13:11:02,70,Accident,0.8788,Medium,45.0,631,296,810,416,720,356,0
2026-07-09 13:11:06,72,Accident,0.8934,Medium,45.0,639,302,822,414,730,358,0
2026-07-09 13:11:10,74,Accident,0.8926,Medium,45.0,639,302,821,414,730,358,0
2026-07-09 13:11:14,76,Accident,0.8773,Medium,45.0,644,307,836,420,740,363,0
2026-07-09 13:11:18,78,Accident,0.8783,Medium,45.0,644,309,848,421,746,365,0
2026-07-09 13:11:22,80,Accident,0.8589,Medium,45.0,646,310,856,422,751,366,0
2026-07-09 13:11:26,82,Accident,0.8534,Medium,45.0,647,308,860,422,753,365,0
2026-07-09 13:11:26,82,Accident,0.3397,Medium,45.0,1190,156,1309,402,1249,279,0
2026-07-09 13:11:31,84,Accident,0.8926,Medium,45.0,647,308,867,422,757,365,0
2026-07-09 13:11:35,86,Accident,0.8996,Medium,45.0,646,308,869,422,757,365,0
2026-07-09 13:11:38,88,Accident,0.8959,Medium,45.0,648,307,870,424,759,365,0
2026-07-09 13:11:42,90,Accident,0.8941,Medium,45.0,650,307,870,424,760,365,0
2026-07-09 13:11:46,92,Accident,0.8935,Medium,45.0,651,308,870,424,760,366,0
2026-07-09 13:11:50,94,Accident,0.8884,Medium,45.0,654,306,871,421,762,363,0
2026-07-09 13:11:54,96,Accident,0.8905,Medium,45.0,655,303,870,421,762,362,0
